순위,연속일수,총강수량,평균강수,일일발전,한전사용,자급률
1위,8,184.3,20.477777777777778,6.0,26.0,75.0
2위,7,281.09999999999997,35.137499999999996,6.0,19.0,79.12087912087912
3위,6,180.00000000000003,25.71428571428572,6.0,12.0,84.61538461538461
4위,5,27.8,4.633333333333334,15.0,0.0,115.38461538461537
5위,5,60.6,10.1,6.0,5.0,92.3076923076923
