강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울
기간 : 20230401~20230531

날짜,지점,강수량(mm)
2023-04-01,108,
2023-04-02,108,
2023-04-03,108,
2023-04-04,108,6.9
2023-04-05,108,50.3
2023-04-06,108,2.7
2023-04-07,108,
2023-04-08,108,
2023-04-09,108,
2023-04-10,108,
2023-04-11,108,2.9
2023-04-12,108,
2023-04-13,108,0
2023-04-14,108,
2023-04-15,108,4.6
2023-04-16,108,0
2023-04-17,108,
2023-04-18,108,1.5
2023-04-19,108,
2023-04-20,108,0.5
2023-04-21,108,
2023-04-22,108,
2023-04-23,108,
2023-04-24,108,
2023-04-25,108,0.4
2023-04-26,108,0
2023-04-27,108,
2023-04-28,108,1.9
2023-04-29,108,25.1
2023-04-30,108,0.1
2023-05-01,108,
2023-05-02,108,
2023-05-03,108,
2023-05-04,108,
2023-05-05,108,30.2
2023-05-06,108,47.5
2023-05-07,108,
2023-05-08,108,
2023-05-09,108,
2023-05-10,108,
2023-05-11,108,
2023-05-12,108,
2023-05-13,108,0
2023-05-14,108,
2023-05-15,108,
2023-05-16,108,
2023-05-17,108,
2023-05-18,108,1.3
2023-05-19,108,
2023-05-20,108,
2023-05-21,108,0.2
2023-05-22,108,0
2023-05-23,108,
2023-05-24,108,
2023-05-25,108,0
2023-05-26,108,0.5
2023-05-27,108,31.8
2023-05-28,108,41.8
2023-05-29,108,2.3
2023-05-30,108,
2023-05-31,108,
