강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울
기간 : 20210601~20210731

날짜,지점,강수량(mm)
2021-06-01,108,3.2
2021-06-02,108,
2021-06-03,108,18.1
2021-06-04,108,
2021-06-05,108,
2021-06-06,108,
2021-06-07,108,0
2021-06-08,108,0.1
2021-06-09,108,
2021-06-10,108,6.1
2021-06-11,108,4.6
2021-06-12,108,
2021-06-13,108,
2021-06-14,108,
2021-06-15,108,1.9
2021-06-16,108,
2021-06-17,108,0
2021-06-18,108,6.3
2021-06-19,108,
2021-06-20,108,
2021-06-21,108,
2021-06-22,108,0
2021-06-23,108,7.5
2021-06-24,108,
2021-06-25,108,
2021-06-26,108,4.5
2021-06-27,108,38.2
2021-06-28,108,0.1
2021-06-29,108,8
2021-06-30,108,6
2021-07-01,108,
2021-07-02,108,
2021-07-03,108,60
2021-07-04,108,21.4
2021-07-05,108,
2021-07-06,108,
2021-07-07,108,12.7
2021-07-08,108,2.9
2021-07-09,108,0
2021-07-10,108,0.5
2021-07-11,108,0.4
2021-07-12,108,
2021-07-13,108,
2021-07-14,108,
2021-07-15,108,0
2021-07-16,108,
2021-07-17,108,0
2021-07-18,108,
2021-07-19,108,67.4
2021-07-20,108,0
2021-07-21,108,
2021-07-22,108,
2021-07-23,108,
2021-07-24,108,
2021-07-25,108,
2021-07-26,108,
2021-07-27,108,
2021-07-28,108,0
2021-07-29,108,
2021-07-30,108,
2021-07-31,108,3
