강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울
기간 : 20220601~20220731

날짜,지점,강수량(mm)
2022-06-01,108,
2022-06-02,108,
2022-06-03,108,
2022-06-04,108,
2022-06-05,108,0
2022-06-06,108,4.3
2022-06-07,108,0
2022-06-08,108,
2022-06-09,108,2.6
2022-06-10,108,1.2
2022-06-11,108,
2022-06-12,108,
2022-06-13,108,18
2022-06-14,108,0
2022-06-15,108,18.5
2022-06-16,108,0.7
2022-06-17,108,
2022-06-18,108,0
2022-06-19,108,
2022-06-20,108,
2022-06-21,108,
2022-06-22,108,
2022-06-23,108,103
2022-06-24,108,19.1
2022-06-25,108,
2022-06-26,108,
2022-06-27,108,6.1
2022-06-28,108,6.3
2022-06-29,108,37.8
2022-06-30,108,176.2
2022-07-01,108,
2022-07-02,108,
2022-07-03,108,
2022-07-04,108,0
2022-07-05,108,0
2022-07-06,108,16.1
2022-07-07,108,0
2022-07-08,108,1.7
2022-07-09,108,0.1
2022-07-10,108,0
2022-07-11,108,9
2022-07-12,108,
2022-07-13,108,114.5
2022-07-14,108,0.9
2022-07-15,108,
2022-07-16,108,34
2022-07-17,108,0
2022-07-18,108,
2022-07-19,108,
2022-07-20,108,1.1
2022-07-21,108,10.4
2022-07-22,108,5.2
2022-07-23,108,9.9
2022-07-24,108,1.2
2022-07-25,108,
2022-07-26,108,
2022-07-27,108,
2022-07-28,108,
2022-07-29,108,
2022-07-30,108,1
2022-07-31,108,47.2
