"태양광발전시설명","소재지도로명주소","가동상태구분명","설비용량(kw)","공급전압(V)","주파수(Hz)","설치연도","데이터기준일자"
"수도전기공업고등학교 태양광발전소","서울시 강남구 개포로 410,(개포2동 155), 수도공고","가동중","63.75","380","60","2015","2022-12-02"
"서울면동초등학교 태양광발전소","서울시 중랑구 면목로57길 32(면목본동 551)","가동중","63.75","380","60","2015","2022-12-02"
"서울시인재개발원 서초태양광발전소","서울시 서초구 남부순환로340길 58(서초동 393-1, 서울시인재개발원 주차장)","가동중","60.69","380","60","2015","2022-12-02"
"진성 태양광발전소","서울시 관악구 서림11길 29(신림동 103-149)","가동중","8.4","220","60","2015","2022-12-02"
"성북나눔발전소2호(장위빗물펌프장)","서울시 성북구 한천로724(장위동 157-2)","가동중","10","380","60","2015","2022-12-02"
"성북나눔발전소3호(개운산공원 생태체험교실)","서울시 성북구 북악산로 949-73(돈암동 산 6-1)","가동중","10","380","60","2015","2022-12-02"
"성북나눔발전소4호(길음환승주차장)","서울시 성북구 동소문로 260(하월곡동 104-116)","가동중","50","380","60","2015","2022-12-02"
"노아 태양광발전소","서울시 서대문구 성산로17길 21(연희동 340-18)","가동중","14.25","380","60","2015","2022-12-02"
"목동햇빛발전소(목동교당)","서울시 양천구 오목로46길 15(신정동 998-1)","가동중","10.5","220","60","2015","2022-12-02"
"태양과바람3호 태양광발전소(난지물재생센터 유입펌프장)","서울시 마포구 증산로 12(상암동 1536-3), 난지물재생센터 유입펌프장","가동중","99.82","380","60","2015","2022-12-02"
"BI 태양광발전소","서울시 강북구 삼양로 202(미아동 734-290)","가동중","18.6","380","60","2015","2022-12-02"
"도봉햇빛나눔발전소1호기(초안산 근린공원주차장)","서울시 도봉구 창동 산 24(초안산 근린공원 주차장)","가동중","62.4","380","60","2016","2022-12-02"
"구로희망 햇빛발전소(고척도서관)","서울시 구로구 고척로45길 31(고척동 산9-14), 고척도서관","가동중","97.2","380","60","2015","2022-12-02"
"핀란드타워 태양광발전소","서울시 서대문구 신촌로 203(대현동 67-5)","가동중","6.48","220","60","2018","2022-12-02"
"문화류씨충경빌딩 태양광발전소","서울시 양천구 오목로 185-1(신정동 908-21)","가동중","12.4","380","60","2016","2022-12-02"
"테트라빌 태양광발전소","서울시 성북구 성북로8길 41(성북동 178-19)","가동중","13.44","380","60","2016","2022-12-02"
"케이엠 태양광발전소 1호기(구의아리수정수센터 탈수기동)","서울시 광진구 워커힐로 13(광장동 520), 구의아리수정수센터","가동중","65.52","380","60","2016","2022-12-02"
"도봉시민햇빛나눔발전소 2호기(누원고등학교)","서울시 도봉구 마들로 849(도봉동 646, 누원고등학교)","가동중","19.2","380","60","2016","2022-12-02"
"네비게이토 태양광발전소(네비게이토선교회)","서울시 동작구 상도로39가길 1(상도1동 458-2)","가동중","18.2","380","60","2016","2022-12-02"
"안전 태양광발전소","서울시 중구 필동2가 17-2(퇴계로210-12)","가동중","11","220","60","2016","2022-12-02"
"한국태양발전협동조합(구의아리수정수센터 여과지동)","서울시 광진구 워커힐로 13 (광장동 520)구의아리수정수센터 여과지동","가동중","99.84","380","60","2016","2022-12-02"
"구로희망 햇빛발전소2호기(신구로펌프장)","서울시 구로구 구로동 683-3 외다수(신구로빗물펌프장 옥상)","가동중","60.48","380","60","2016","2022-12-02"
"조선일보1호 태양광발전소 C-square","서울시 중구 태평로1가 61-21","가동중","31","380","60","2016","2022-12-02"
"능동 태양광발전소","서울시 광진구 능동로 34길 74","가동중","19.84","220","60","2016","2022-12-02"
"인헌고 시민햇빛발전소","서울시 관악구 인헌동 174-5, 인헌고등학교","가동중","75","380","60","2017","2022-12-02"
"홍익타운 태양광발전소","서울시 성북구 안암동3가 131-1","가동중","8.505","220","60","2020","2022-12-02"
"에버태양광발전소","서울시 관악구 ]난곡로64길 53(에버하우스)","가동중","6","220","60","2016","2022-12-02"
"도봉햇빛나눔발전소 2호기(창2동주민센터)","서울시 도봉구 덕릉로59길 73-3, 창2동주민센터 옥상","가동중","15.4","380","60","2016","2022-12-02"
"성진Solar(명지햇빛발전소)","서울시 서대문구 명지2길 56, 명지고등학교 옥상","가동중","99","380","60","2017","2022-12-02"
"군자태양광발전소","서울시 관악구 신림동 492-20","가동중","9","220","60","2017","2022-12-02"
"신림중학교 햇빛발전소","서울시 관악구 신림로40, 신림중학교 ","가동중","70.2","380","60","2017","2022-12-02"
"태양과바람4호기태양광발전소(서울혁신파크)","서울시 은평구 통일로684(녹번동5번지)서울혁신파크 미래청","가동중","88.2","380","60","2017","2022-12-02"
"구로햇빛발전소 2호기(개봉빗물펌프장)","서울시 구로구 개봉동 189-3(개봉빗물펌프장)","가동중","40.2","380","60","2017","2022-12-02"
"파크빌태양광발전소","서울시 은평구 불관동 331-150","가동중","9","220","60","2016","2022-12-02"
"도봉시민햇빛나눔발전소3호기(차량정비고)","서울시 도봉구 덕릉로66길 84-1 (도봉구 청소행정과 차량정비고 옥상)","가동중","17.42","380","60","2017","2022-12-02"
"은평메디텍햇빛발전소(은평메디텍고등학교)","서울시 은평구 진관2로 57-57, 은평메디텍고등학교","가동중","99.2","380","60","2017","2022-12-02"
"kepco-1-1-수도공고(본관) 태양광발전소","서울시 강남구 개포로 410, 수도공업고등학교","가동중","99","380","60","2016","2022-12-02"
" kepco-1-2-동명여고 태양광발전소","서울시 은평구 통일로 793 동명여자고등학교(건물옥상)","가동중","99.75","380","60","2017","2022-12-02"
"우주선 태양광발전소","서울시 광진구 군자동 352-1","가동중","8.37","220","60","2017","2022-12-02"
"솔라1 태양광발전소","서울시 중랑구 신내동 613-71","가동중","19.04","380","60","2017","2022-12-02"
"박승희 태양광발전소","서울시 송파구 송이로23길 30-9","가동중","10.505","220","60","2017","2022-12-02"
"성안운수㈜ 태양광발전소","서울시 도봉구 방학로 17","가동중","10.72","380","60","2017","2022-12-02"
"KT구로지사 태양광발전소","서울시 관악구 조원중앙로1길 26","가동중","117.92","380","60","2017","2022-12-02"
"호성 태양광발전사업","서울시 노원구 상계동 1075-1","가동중","15.75","380","60","2017","2022-12-02"
"금산햇빛발전사업(금산초교)","서울시 금천구 시흥대로24길 57(금산초등학교)","가동중","34.32","380","60","2017","2022-12-02"
"썬 태양광발전소","서울시 광진구 긴고랑로 148-1","가동중","19","380","60","2017","2022-12-02"
" kepco-1-31-양강초 태양광발전소","서울시 양천구 오목로 101, 양강초등학교","가동중","43.47","380","60","2018","2022-12-02"
" kepco-1-34-청룡초 태양광발전소","서울시 관악구 관악로5길 61, 청룡초등학교","가동중","70.38","380","60","2018","2022-12-02"
" kepco-1-36-개포고 태양광발전소","서울시 강남구 개포로402, 개포고등학교","가동중","70.38","380","60","2018","2022-12-02"
"잠실철교 남단 태양광 나눔발전소","서울시 송파구 신천동 5번지(잠실철교 남단 폐도로 부지)","가동중","47.25","380","60","2017","2022-12-02"
"대흥1호 태양광발전소","서울시 동대문구 답십리동 99-6","가동중","37.8","380","60","2017","2022-12-02"
"대흥2호 태양광발전소","서울시 동대문구 장안동 464-8","가동중","29.925","380","60","2017","2022-12-02"
"대흥3호 태양광발전소","서울시 동대문구 답십리동 94-9","가동중","55.759","380","60","2017","2022-12-02"
"또감사 태양광발전소","서울시 강동구 천호동 308-6","가동중","30.87","380","60","2017","2022-12-02"
"솔라2 태양광발전소","서울시 구로구 오류동 137-8","가동중","53.25","380","60","2017","2022-12-02"
"화원중학교 햇빛발전소","서울시 강서구 화곡1동 351-94 화원중","가동중","48.24","380","60","2017","2022-12-02"
"면목 햇빛발전소","서울시 중랑구 용마산로72길 36-14 면목고","가동중","70.2","380","60","2017","2022-12-02"
"서울 항공비즈니스 햇빛발전소","서울시 강서구 방화대로34길 13","가동중","98.56","380","60","2017","2022-12-02"
"대림 태양광발전소","서울시 영등포구 대림동 713-6","가동중","19.04","380","60","2018","2022-12-02"
"개웅중학교 햇빛발전소","서울시 구로구 개봉로11길 81, 개웅중학교 교사동","가동중","49.5","380","60","2018","2022-12-02"
"양천 햇빛공유발전소 1호 (서울에너지공사 본관)","서울시 양천구 목동서로 20(서울에너지공사)","가동중","95.85","380","60","2017","2022-12-02"
"중화고 마을햇빛발전소","서울시 중랑구 봉화산로27길 62 중화고등학교","가동중","57.62","380","60","2018","2022-12-02"
"하슬라태양광발전소","서울시 관악구 행운길 50","가동중","12.06","220","60","2017","2022-12-02"
"재성 태양광발전소","서울시 도봉구 방학동 703-21","가동중","14.04","380","60","2018","2022-12-02"
"솔라3 태양광발전소","서울시 중랑구 망우동 460-27","가동중","30.24","380","60","2018","2022-12-02"
"상계고등학교햇빛발전소","서울시 노원구 상계동 738 상계고등학교","가동중","74.25","380","60","2018","2022-12-02"
"삼지전자태양광발전소","서울시 금천구 가산디지털2로 169-21(건축물 C동 옥상)","가동중","48.64","380","60","2017","2022-12-02"
"전주현태양광발전소","서울시 강북구 미아동 327-3","가동중","14.4","220","60","2018","2022-12-02"
"김재희태양광발전소","서울시 서대문구 홍은동 8-18","가동중","17.28","380","60","2018","2022-12-02"
" kepco-1-3-혜원여중 태양광발전소","서울시 중랑구 봉우재로58길 6, 혜원여자중학교","가동중","94.5","380","60","2018","2022-12-02"
"응암동태양광발전소","서울시 은평구 응암동 751-35","가동중","10","380","60","2018","2022-12-02"
" kepco-1-45-하계중 태양광발전소","서울시 노원구 노원로 261-8, 하계중학교","가동중","99.36","380","60","2019","2022-12-02"
" kepco-1-48-동원초 태양광발전소","서울시 중랑구 송림길 114, 동원초등학교","가동중","80.73","380","60","2019","2022-12-02"
" kepco-1-4-영일고 태양광발전소","서울시 강서구 등촌로51가길 26, 영일고등학교","가동중","46.2","380","60","2018","2022-12-02"
" kepco-1-53-광남고 태양광발전소","서울시 광진구 아차산로 70길 17-16, 광남고등학교","가동중","80.73","380","60","2019","2022-12-02"
" kepco-1-54-중화중 태양광발전소","서울시 중랑구 용마산로364, 중화중학교","가동중","80.73","380","60","2019","2022-12-02"
" kepco-1-55-창신초 태양광발전소","서울시 종로구 지붕로73, 창신초등학교","가동중","37.26","380","60","2019","2022-12-02"
" kepco-1-58-휘경초 태양광발전소","서울시 동대문구 망우로6길 48, 휘경초등학교","가동중","80.73","380","60","2019","2022-12-02"
" kepco-1-59-상봉중 태양광발전소","서울시 중랑구 상봉중앙로8길나길 28, 상봉중학교","가동중","49.68","380","60","2019","2022-12-02"
" kepco-1-68-신수중 태양광발전소","서울시 마포구 신수로 49, 신수중학교","가동중","32.85","380","60","2019","2022-12-02"
" kepco-1-6-구일중 태양광발전소","서울시 구로구 구일로 90-133, 구일중학교","가동중","70.38","380","60","2018","2022-12-02"
" kepco-1-75-휘경공고 태양광발전소","서울시 동대문구 겸재로 21, 휘경공업고등학교","가동중","49.385","380","60","2020","2022-12-02"
" kepco-1-9-온수초 태양광발전소","서울시 구로구 부일로 893, 온수초등학교","가동중","49.68","380","60","2018","2022-12-02"
"kepco-1-10-영등포고 태양광발전소","서울시 동작구 대방동 13-2, 영등포고등학교","가동중","99.36","380","60","2018","2022-12-02"
"kepco-1-11-문래초 태양광발전소","서울시 영등포구 문래로 104, 문래초등학교","가동중","49.68","380","60","2018","2022-12-02"
"kepco-1-12-수송중 태양광발전소","서울시 강북구 한천로122길 21, 수송중학교","가동중","37.26","380","60","2018","2022-12-02"
"kepco-1-13-오현초 태양광발전소","서울시 강북구 월계로 221, 오현초등학교","가동중","49.68","380","60","2018","2022-12-02"
"kepco-1-14-강일초 태양광발전소","서울시 강동구 아리수로98길 24, 강일초등학교","가동중","65.205","380","60","2018","2022-12-02"
"kepco-1-15-삼성고 태양광발전소","서울시 관악구 신림로 41, 삼성고등학교","가동중","70.38","380","60","2018","2022-12-02"
"kepco-1-16-청덕초 태양광발전소","서울시 성북구 정릉로9라길 11, 청덕초등학교","가동중","99.36","380","60","2018","2022-12-02"
"kepco-1-17-오정초 태양광발전소","서울시 구로구 경인로2길 10, 오정초등학교","가동중","49.68","380","60","2018","2022-12-02"
"삼성전자나눔발전소 1호(서울교통공사 인재개발원)","서울시 성동구 천호대로 78길 15-48 서울교통공사 인재개발원","가동중","87.04","380","60","2018","2022-12-02"
"삼성전자나눔발전소 2호(군자차량기지)","서울시 성동구 천호대로 78길 58, 군자차량기지","가동중","310.08","22900","60","2018","2022-12-02"
"삼성전자나눔발전소 3호(신정차량기지)","서울시 양천구 목동로3길 41, 신정차량기지","가동중","97.92","380","60","2018","2022-12-02"
"송암 태양광발전소","서울시 노원구 동일로 192번길 46","가동중","19.04","380","60","2018","2022-12-02"
"국사봉중학교 사회적협동조합 햇빛발전소","서울시 동작구 양녕로20길 20, 국사봉중학교","가동중","33","220","60","2018","2022-12-02"
"프라임 발전소","서울시 서대문구 대신동 122-2","가동중","16.5","380","60","2017","2022-12-02"
"메이즈 발전소","서울시 서대문구 대신동 144","가동중","19.5","380","60","2017","2022-12-02"
"메이필드 태양광발전소","서울시 강서구 외발산동 426","가동중","65.28","380","60","2018","2022-12-02"
"kepco-1-18-신림고 태양광발전소","서울시 관악구 문성로 119, 신림고등학교","가동중","70.38","380","60","2018","2022-12-02"
"kepco-1-19-구일초 태양광발전소","서울시 구로구 구일로 68 ,구일초등학교","가동중","70.38","380","60","2018","2022-12-02"
"kepco-1-26-인수중 태양광발전소","서울시 강북구 인수봉로75길 10, 인수중학교","가동중","56.235","380","60","2018","2022-12-02"
"kepco-1-29-경서중 태양광발전소","서울시 강서구 양천로59길 31, 경서중학교","가동중","49.68","380","60","2018","2022-12-02"
"kepco-1-30-세현고 태양광발전소","서울시 강서구 허준로 227, 세현고등학교","가동중","99.36","380","60","2018","2022-12-02"
"kepco-1-32-두산초 태양광발전소","서울시 금천구 범안로11길3, 두산초등학교","가동중","70.38","380","60","2018","2022-12-02"
"kepco-1-33-장승중 태양광발전소","서울시 동작구 장승배기로10가길 25, 장승중학교","가동중","49.68","380","60","2018","2022-12-02"
"kepco-1-35-치현초 태양광발전소","서울시 강서구 방화대로47길 43, 치현초등학교","가동중","82.8","380","60","2018","2022-12-02"
"kepco-1-37-강북중 태양광발전소","서울시 강북구 한천로150길 67, 강북중학교","가동중","93.15","380","60","2018","2022-12-02"
"kepco-1-38-금융고 태양광발전소","서울시 양천구 가로공원로61길 19, 금융고등학교","가동중","86.94","380","60","2018","2022-12-02"
"kepco-1-40-안천중 태양광발전소","서울시 금천구 한내로 69-44, 안천중학교","가동중","70.38","380","60","2018","2022-12-02"
"kepco-1-42-면목중 태양광발전소","서울시 중랑구 용마산로70길 37, 면목중학교","가동중","49.68","380","60","2019","2022-12-02"
"kepco-1-43-신내초 태양광발전소","서울시 중랑구 용마산로125나길 22, 신내초등학교","가동중","49.68","380","60","2019","2022-12-02"
"kepco-1-44-수락중 태양광발전소","서울시 노원구 동일로 1729, 수락중학교","가동중","49.68","380","60","2019","2022-12-02"
"kepco-1-46-방학중 태양광발전소","서울시 도봉구 시루봉로 188, 방학중학교","가동중","37.26","380","60","2019","2022-12-02"
"kepco-1-47-용곡중 태양광발전소","서울시 광진구 용마산로22길 76, 용곡중학교","가동중","80.73","380","60","2019","2022-12-02"
"kepco-1-49-장안중 태양광발전소","서울시 중랑구 동일로780, 장안중학교","가동중","49.68","380","60","2019","2022-12-02"
"kepco-1-50-휘봉초 태양광발전소","서울시 동대문구 장안벚꽃로309, 휘봉초등학교","가동중","49.68","380","60","2019","2022-12-02"
"kepco-1-51-무학중 태양광발전소","서울시 성동구 행당로 120, 무학중학교","가동중","37.26","380","60","2019","2022-12-02"
"kepco-1-52-경일고 태양광발전소","서울시 성동구 성수일로 27, 경일고등학교","가동중","49.68","380","60","2019","2022-12-02"
"kepco-1-56-청구초 태양광발전소","서울시 중구 다산로170, 청구초등학교","가동중","49.68","380","60","2019","2022-12-02"
"kepco-1-57-월계초 태양광발전소","서울시 노원구 월계로 45가길 10, 월계초등학교","가동중","49.68","380","60","2019","2022-12-02"
"kepco-1-5-중대초 태양광발전소","서울시 송파구 송파대로36길 8, 중대초등학교","가동중","99.36","380","60","2018","2022-12-02"
"kepco-1-60-봉림중 태양광발전소","서울시 관악구 장군봉길 72, 봉림중학교","가동중","49.64","380","60","2019","2022-12-02"
"보배태양광발전소","서울시 송파구 잠실동 329-15","가동중","18.36","380","60","2018","2022-12-02"
"해피홈태양광발전소","서울시 서대문구 남가좌동 342-15","가동중","16.2","380","60","2018","2022-12-02"
"JH태양광발전소","서울시 강남구 역삼동 658-6","가동중","8.5","220","60","2021","2022-12-02"
"관성사 태양광발전소","서울시 종로구 홍파동 5-33 외 24필지. 불교사찰","가동중","17.52","380","60","2018","2022-12-02"
"삼부프라자태양광발전소","서울시 노원구 중계동 364-19 삼부프라자빌딩","가동중","57.6","380","60","2018","2022-12-02"
"코코태양광발전소","서울시 서대문구 연희동 170-131","가동중","9","380","60","2018","2022-12-02"
"오로라태양광발전소","서울시 강서구 수명로 82","가동중","54.75","380","60","2020","2022-12-02"
"태광태양광발전소","서울시 강동구 명일동 223-5","가동중","57.12","380","60","2018","2022-12-02"
"태양과바람5호태양광발전소(서울시교육청 서대문도서관)","서울시 서대문구 모래내로 412(서대문도서관)","가동중","42.705","380","60","2018","2022-12-02"
"보덕태양광발전소","서울시 동작구 사당로 243","가동중","18.285","380","60","2019","2022-12-02"
"kepco-1-61-상경중 태양광발전소","서울시 노원구 동일로 227길 61, 상경중학교","가동중","37.26","380","60","2019","2022-12-02"
"kepco-1-62-신방학초 태양광발전소","서울시 도봉구 시루봉로 173, 신방학초등학교","가동중","74.52","380","60","2019","2022-12-02"
"kepco-1-63-원묵초 태양광발전소","서울시 중랑구 숙선옹주로 109, 원묵초등학교","가동중","80.73","380","60","2019","2022-12-02"
"kepco-1-64-월천초 태양광발전소","서울시 도봉구 노해로70길 96, 월천초등학교","가동중","49.68","380","60","2019","2022-12-02"
"kepco-1-65-한서초 태양광발전소","서울시 마포구 대흥로24바길 27, 한서초등학교","가동중","49.68","380","60","2019","2022-12-02"
"kepco-1-66-태랑중 태양광발전소","서울시 노원구 화랑로 51나길 51,태랑중학교","가동중","49.68","380","60","2019","2022-12-02"
"kepco-1-67-중원초 태양광발전소","서울시 노원구 섬발로 316, 중원초등학교","가동중","80.73","380","60","2019","2022-12-02"
"kepco-1-78-삼정중 태양광발전소","서울시 강서구 금낭화로210, 삼정중학교","가동중","49.64","380","60","2020","2022-12-02"
"kepco-1-7-숭덕초 태양광발전소","서울시 성북구 정릉로279, 숭덕초등학교","가동중","49.68","380","60","2018","2022-12-02"
"kepco-1-8-남성중 태양광발전소","서울시 동작구 남부순환로269길 166, 남성중학교","가동중","52.44","380","60","2018","2022-12-02"
"kepco-1-20-신구중 태양광발전소","서울시 강남구 압구정로36길 17, 신구중학교","가동중","76.16","380","60","2018","2022-12-02"
"kepco-1-21-방화중 태양광발전소","서울시 강서구 개화동로27길 9, 방화중학교","가동중","48.96","380","60","2018","2022-12-02"
"kepco-1-22-방화초 태양광발전소","서울시 강서구 양천로6길 92, 방화초등학교","가동중","65.28","380","60","2018","2022-12-02"
"kepco-1-23-염창중 태양광발전소","서울시 강서구 양천로67가길 83, 염창중학교","가동중","38.08","380","60","2018","2022-12-02"
"kepco-1-24-신대림초 태양광발전소","서울시 영등포구 대림로8길 25, 신대림초등학교","가동중","32.64","380","60","2018","2022-12-02"
"kepco-1-25-서울산업정보학교 태양광발전소","서울시 관악구 신림로 67, 서울산업정보학교","가동중","32.64","380","60","2018","2022-12-02"
"kepco-1-27-강현중 태양광발전소","서울시 동작구 상도로13라길 22, 강현중학교","가동중","32.64","380","60","2018","2022-12-02"
"kepco-1-28-동작고 태양광발전소","서울시 동작구 솔밭로 51, 동작고등학교","가동중","32.64","380","60","2018","2022-12-02"
"kepco-1-39-수서초 태양광발전소","서울시 강남구 광평로51길 46, 수서초등학교","가동중","48.96","380","60","2018","2022-12-02"
"kepco-1-41-수도공고(스탠드) 태양광발전소","서울시 강남구 개포로 410, 수도공업고등학교","가동중","168.64","380","60","2018","2022-12-02"
"화곡태양광발전소","서울시 강서구 화곡로 21길 62","가동중","19.17","380","60","2018","2022-12-02"
"서울나눔발전소 8호(중랑물재생센터 1차침전지)","서울시 성동구 자동차시장3길 64(용답동), 중랑물재생센터 1차침전지","가동중","988.2","22900","60","2019","2022-12-02"
"LG화학 서울희망그린발전소(중랑물재생센터 생물반응조 및 1차 침전지 후단)","서울시 성동구 자동차시장3길 64(용답동), 중랑물재생센터 생물반응조 및 1차침전지 후단","가동중","622.08","22900","60","2018","2022-12-02"
"엠에스태양광발전소","서울시 영등포구 대림동 664-18","가동중","34.08","380","60","2018","2022-12-02"
"대종회태양광발전소(문중 시설)","서울시 강북구 미아3동 218-1","가동중","18.98","380","60","2018","2022-12-02"
"김선후태양광발전소","서울시 관악구 신림1동 1577-16,17","가동중","17","220","60","2018","2022-12-02"
"도봉시민햇빛나눔발전소 4호기","서울시 도봉구 방학로3길 117(도봉구 보건소)","가동중","19.04","380","60","2018","2022-12-02"
"노너드태양광발전소","서울시 은평구 역촌동 83-39","가동중","12.6","220","60","2018","2022-12-02"
"대한상운햇빛발전소","서울시 성동구 성수동1가 685-58","가동중","59.84","380","60","2018","2022-12-02"
"우일태양광발전소","서울시 동대문구 청계천로 497, 우일빌딩","가동중","37.96","380","60","2018","2022-12-02"
"제이앤비 The Best 2 태양광발전소","서울시 중구 난계로 17길 17, 1569,1567","가동중","12.41","380","60","2019","2022-12-02"
"유덕휴먼빌아파트입주자대표회의 태양광발전소","서울시 강동구 천중로 54길 9-14, 유덕휴먼빌아파트","가동중","19.44","220","60","2018","2022-12-02"
"서울대공원 시민햇빛1호 태양광발전소 ","경기도 과천시 막계동 338 외 71필지(서울대공원 주차장)","준비중","5000","22900","60","","2022-12-02"
"서울대공원 시민햇빛2호 태양광발전소","경기도 과천시 막계동 258 외 70필지(서울대공원 주차장)","준비중","5000","22900","60","","2022-12-02"
"자양고가도로 태양광발전소","서울시 광진구 자양동 562,701, 구의동 627-9,572","가동중","97.92","380","60","2019","2022-12-02"
"강변북로 성수1호 태양광발전소","서울시 성동구 성수동 1가 697-1, 강변북로 옹벽","가동중","73.44","380","60","2019","2022-12-02"
"강변북로 성수2호 태양광발전소","서울시 성동구 성수동2가 623,630-6,158-4, 강변북로 옹벽","가동중","146.88","380","60","2019","2022-12-02"
"경광태양광발전소","서울시 구로구 고척로6길 29(오류동)","가동중","12.32","220","60","2019","2022-12-02"
"엠엠에스㈜태양광발전소","서울시 중랑구 면목동 151-10","가동중","25.55","380","60","2019","2022-12-02"
"개화역환승센터태양광발전소","서울시 강서구 개화동 490-3,개화역환승센터","가동중","184.32","380","60","2019","2022-12-02"
"용마태양광발전소","서울시 중랑구 묵동 250-13, 용마빌딩","가동중","16.32","220","60","2019","2022-12-02"
"고원초등학교 햇빛발전소","서울시 구로구 경인로46길 13, 고원초등학교","가동중","34.68","380","60","2018","2022-12-02"
"데코태양광발전소","서울시 중랑구 상봉동 201","가동중","18.72","380","60","2019","2022-12-02"
"천호태양광발전소","서울시 강동구 올림픽로 92길 52(천호동)","가동중","12.42","220","60","2019","2022-12-02"
"원불교 신촌교당 태양광발전소","서울시 서대문구 신촌로7길 46, 원불교 신촌교당","가동중","32.64","380","60","2019","2022-12-02"
"상계태양광발전소","서울시 노원구 상계로 117","가동중","17.94","380","60","2019","2022-12-02"
"엘하우스태양광발전소","서울시 광진구 자양번영로 11길 21","가동중","9.49","220","60","2019","2022-12-02"
"문정태양광발전소","서울시 송파구 새말로 6길 49","가동중","11.85","380","60","2019","2022-12-02"
"쌍용태양광발전소","서울시 노원구 상계로 137-15","가동중","14.8","220","60","2019","2022-12-02"
"삼화상운1 태양광발전소","서울시 노원구 월계로 280(월계동 541-1)","가동중","99.9","380","60","2019","2022-12-02"
"삼화상운2 태양광발전소","서울시 노원구 월계로 45길 41(월계동 850)","가동중","77.7","380","60","2019","2022-12-02"
"kepco-1-69-봉화중 태양광발전소","서울시 중랑구 망우로70길 89, 봉화중학교","가동중","98.77","380","60","2020","2022-12-02"
"kepco-1-70-원묵중 태양광발전소","서울시 중랑구 신내로23길 57, 원묵중학교","가동중","98.77","380","60","2020","2022-12-02"
"kepco-1-71-방이중 태양광발전소","서울시 송파구 오금로 11길 64, 방이중학교","가동중","49.385","380","60","2020","2022-12-02"
"다스코(주) 동부간선도로 방음터널 태양광발전소","서울시 노원구 상계동 1083 외 10필지","가동중","902.88","22900","60","2020","2022-12-02"
"코원ES 햇빛발전소 3 (송파)","서울시 송파구 장지동 875(서울복합물류 건물 C동, D동 옥상)","가동중","1315.44","22900","60","2019","2022-12-02"
"서서울태양광발전소","서울시 구로구 고척동 218-7","가동중","9.6","380","60","2019","2022-12-02"
"샬롬햇빛태양광발전소","서울시 구로구 온수동 73-1, 초온교회","가동중","52.26","380","60","2019","2022-12-02"
"도봉햇빛나눔발전소 3호기","서울시 도봉구 마들로 932, 다락원 체육공원 부설주차장","가동중","80.64","380","60","2020","2022-12-02"
"건대부중햇빛발전소","서울시 광진구 자양로 145-1, 건국대학교 사범대학 부속중학교","가동중","99.16","380","60","2019","2022-12-02"
"신천유수지 공영주차장 강남햇빛발전소","서울시 송파구 신천동 14 신천유수지 공영주차장","가동중","99.9","380","60","2020","2022-12-02"
"준솔라태양광발전소","서울시 서초구 양재동 9-4","가동중","12.035","220","60","2020","2022-12-02"
"신천유수지 공영주차장 둥근햇빛발전소","서울시 송파구 신천동 14 신천유수지 공영주차장","가동중","83.25","380","60","2020","2022-12-02"
"강남햇빛발전협동조합 수서역발전소","서울시 강남구 수서동 735번지, 수서역 공영주차장","준비중","99.9","380","60","","2022-12-02"
"둥근수서햇빛발전소","서울시 강남구 수서동 736번지, 수서역 공영주차장","준비중","99.9","380","60","","2022-12-02"
"강서양천 수서역 햇빛발전소","서울시 강남구 수서동 737번지, 수서역 공영주차장","준비중","99.9","380","60","","2022-12-02"
"태양과바람 7호기","서울시 강남구 수서동 738번지, 수서역 공영주차장","준비중","99.9","380","60","","2022-12-02"
"SK은평 박석고개 태양광발전소","서울시 은평구 갈현동 1-6/1-12","가동중","29.625","380","60","2020","2022-12-02"
"SK동대문 장안킹 태양광발전소","서울시 동대문구 장안동 164-2","가동중","18.96","380","60","2020","2022-12-02"
"제기동 햇빛발전소","서울특별시 동대문구 약령시로 2길 36-3","가동중","19.2","380","60","2019","2022-12-02"
"서울시민 수서 햇빛발전소","서울시 강남구 수서동 735, 수서역 공영주차장","준비중","99.9","380","60","","2022-12-02"
"금천 수서 태양광발전소","서울시 강남구 수서동 735, 수서역 공영주차장","준비중","99.9","380","60","","2022-12-02"
"한울안 수서 태양광발전소","서울시 강남구 수서동 735, 수서역 공영주차장","준비중","99.9","380","60","","2022-12-02"
"강서양천 영남햇빛발전소(영등포 영남공영주차장)","서울특별시 영등포구 영등포동4가 123, 영남 공영주차장","가동중","71.38","380","60","2020","2022-12-02"
"한울안 영남태양광발전소","서울특별시 영등포구 영등포동4가 123, 영남 공영주차장","가동중","35.72","380","60","2021","2022-12-02"
"상계햇빛발전소","서울시 노원구 상계동 686(노원구립도서관)","가동중","96.2","380","60","2020","2022-12-02"
"강변북로 광나루 태양광발전소","서울시 광진구 광장동 561-2,574-16,574-12(옹벽)","가동중","140.4","380","60","2020","2022-12-02"
"성대골 햇빛발전소 1호","서울시 동작구 성대로2길 9(건축물 옥상)","가동중","10.125","220","60","2020","2022-12-02"
"장로회신학대학교 태양광발전소","서울시 광진구 광장로5길 25-1","가동중","96.8","380","60","2020","2022-12-02"
"공릉점기아오토큐 태양광발전소","서울시 노원구 동일로 173가길 112","가동중","27.39","380","60","2020","2022-12-02"
"광영 태양광발전소","서울시 광진구 능동로 256","가동중","16.5","380","60","2020","2022-12-02"
